8:17 AM,1/1/17,Tremblant Hotel,January
1:57 PM,1/1/17,Tremblant Hotel,January
5:38 PM,1/1/17,Tremblant Hotel,January
8:33 PM,1/1/17,Coco Pazzo,January
9:48 AM,1/2/17,Tremblant Hotel,January
2:04 PM,1/2/17,Grand Manitou,January
4:56 PM,1/2/17,Tremblant Hotel,January
7:42 PM,1/2/17,Le Maison de la CrÌ»pe,January
10:28 PM,1/2/17,Tremblant Hotel,January
8:23 AM,1/3/17,Tremblant Hotel,January
12:17 PM,1/3/17,Airport Canada,January
5:24 PM,1/3/17,My Bathroom,January
10:33 AM,1/4/17,My Bathroom,January
2:44 PM,1/4/17,My Bathroom,January
8:52 PM,1/4/17,My Bathroom,January
10:14 PM,1/4/17,My Bathroom,January
12:04 AM,1/5/17,My Bathroom,January
6:53 AM,1/5/17,My Bathroom,January
2:36 PM,1/5/17,Hackley Woods,January
9:27 PM,1/5/17,Downstairs Bathroom,January
10:17 PM,1/5/17,My Shower,January
6:54 AM,1/6/17,My Bathroom,January
12:11 PM,1/6/17,Science Wing F2,January
4:15 PM,1/6/17,Downstairs Bathroom,January
7:06 PM,1/6/17,Dad's Bathroom,January
9:23 PM,1/6/17,Dad's Bathroom,January
6:44 AM,1/7/17,Dad's Bathroom,January
8:47 AM,1/7/17,Hackley Woods,January
10:52 AM,1/7/17,Deer Pond,January
3:16 PM,1/7/17,Zetkov Bathroom,January
8:03 PM,1/7/17,Cliffs Valhalla,January
9:34 PM,1/7/17,Downstairs Bathroom,January
11:45 PM,1/7/17,My Bathroom,January
6:35 AM,1/8/17,My Bathroom,January
10:37 AM,1/8/17,Language Hall,January
2:28 PM,1/8/17,Deer Pond,January
4:21 PM,1/8/17,My Bathroom,January
7:47 PM,1/8/17,BLT SteakHouse,January
9:04 PM,1/8/17,My Bathroom,January
6:43 AM,1/9/17,My Bathroom,January
10:07 AM,1/9/17,Hackley Library,January
3:19 PM,1/9/17,Downstairs Bathroom,January
7:21 PM,1/9/17,My Bathroom,January
8:50 PM,1/9/17,My Bathroom,January
12:08 AM,1/10/17,My Bathroom,January
9:51 AM,1/10/17,My Bathroom,January
1:28 PM,1/10/17,My Bathroom,January
6:23 PM,1/10/17,My Bathroom,January
11:04 PM,1/10/17,My Bathroom,January
11:28 AM,1/11/17,My Bathroom,January
1:54 PM,1/11/17,My Bathroom,January
6:57 PM,1/11/17,Guadalajara Restaurant,January
12:11 AM,1/12/17,My Bathroom,January
8:04 AM,1/12/17,My Bathroom,January
12:31 PM,1/12/17,Freshman Hallway,January
3:25 PM,1/12/17,My Bathroom,January
5:48 PM,1/12/17,My Bathroom,January
9:27 PM,1/12/17,Downstairs Bathroom,January
6:46 AM,1/13/17,My Bathroom,January
8:26 AM,1/13/17,Freshman Hallway,January
12:19 PM,1/13/17,Freshman Hallway,January
2:27 PM,1/13/17,Deer Pond,January
8:40 PM,1/13/17,Dad's Bathroom,January
11:18 PM,1/13/17,Dad's Bathroom,January
6:30 AM,1/14/17,Dad's Bathroom,January
8:36 AM,1/14/17,Salamander Pond,January
10:59 AM,1/14/17,Science Wing F2,January
12:06 PM,1/14/17,Science Wing F2,January
2:00 PM,1/14/17,Language Hall,January
6:08 PM,1/14/17,Cliffs Valhalla,January
9:45 PM,1/14/17,Downstairs Bathroom,January
6:34 AM,1/15/17,My Bathroom,January
12:27 PM,1/15/17,Science Wing F2,January
6:36 PM,1/15/17,My Bathroom,January
8:51 PM,1/15/17,My Bathroom,January
6:51 AM,1/16/17,My Bathroom,January
2:53 PM,1/16/17,My Bathroom,January
6:37 PM,1/16/17,Windham Pub,January
9:34 PM,1/16/17,Windham House,January
7:13 AM,1/17/17,Windham House,January
12:44 PM,1/17/17,Roundhouse Lodge,January
4:10 PM,1/17/17,Windham House,January
6:36 PM,1/17/17,Windham House,January
9:47 PM,1/17/17,Windham House,January
7:45 AM,1/18/17,Windham House,January
1:50 PM,1/18/17,Windham Mountain,January
5:31 PM,1/18/17,Windham House,January
8:01 PM,1/18/17,Windham House,January
10:35 PM,1/18/17,Windham House,January
8:47 AM,1/19/17,Windham House,January
12:11 PM,1/19/17,Downstairs Bathroom,January
3:03 PM,1/19/17,My Bathroom,January
5:03 PM,1/19/17,My Bathroom,January
9:23 PM,1/19/17,My Bathroom,January
12:11 PM,1/20/17,Hackley Library,January
3:29 PM,1/20/17,My Bathroom,January
6:47 PM,1/20/17,Dad's Bathroom,January
8:37 PM,1/20/17,Dad's Bathroom,January
6:43 AM,1/21/17,Dad's Bathroom,January
9:59 AM,1/21/17,Hackley PAC,January
11:52 AM,1/21/17,Language Hall,January
3:47 PM,1/21/17,Cliffs Valhalla,January
9:50 PM,1/21/17,My Bathroom,January
6:32 PM,1/21/17,My Bathroom,January
11:17 AM,1/22/17,Hackley Library,January
4:54 PM,1/22/17,My Bathroom,January
8:16 PM,1/22/17,Downstairs Bathroom,January
6:47 AM,1/23/17,My Bathroom,January
11:32 AM,1/23/17,Science Wing F2,January
1:55 PM,1/23/17,Language Hall,January
5:07 PM,1/23/17,My Bathroom,January
9:57 AM,1/24/17,My Bathroom,January
1:29 PM,1/24/17,My Bathroom,January
5:07 PM,1/24/17,Dad's Bathroom,January
8:02 PM,1/24/17,Dad's Bathroom,January
10:19 PM,1/24/17,Dad's Bathroom,January
12:16 AM,1/25/17,Dad's Bathroom,January
9:29 AM,1/25/17,Dad's Bathroom,January
12:23 PM,1/25/17,RiverMarket Restaurant,January
5:23 PM,1/25/17,Downstairs Bathroom,January
